Type :,DIL805
Test :,_Henrique-sp3-aq10Cs-resfr100Cs_01.01.07_


;Time;Temperature;Change in Length;Nominal Temperature
 249;42.16025925;421.69525146;57.01700211;421.59057617
 250;42.33093262;423.27325439;57.28194046;423.29742432
 251;42.50051498;425.00320435;57.57311249;424.99325562
 252;42.67111588;426.67633057;57.88526917;426.69921875
 253;42.84062195;428.38912964;58.15283203;428.39431763
 254;43.01015472;430.08868408;58.44400024;430.08956909
 255;43.18085480;431.76144409;58.70893860;431.79650879
 256;43.35032654;433.48849487;59.00011063;433.49127197
 257;43.52099609;435.13778687;59.32013702;435.19818115
 258;43.69054413;436.93777466;59.60868454;436.89315796
 259;43.86116791;438.56756592;59.86575317;438.59982300
 260;44.03059769;440.26644897;60.16479492;440.29406738
 261;44.20002365;442.02645874;60.44809341;441.98837280
 262;44.37062836;443.66186523;60.74975967;443.69433594
 263;44.54016495;445.47128296;61.06191635;445.38967896
 264;44.71081161;447.04821777;61.34783936;447.09619141
 265;44.88024521;448.73812866;61.66261673;448.79055786
 266;45.05093765;450.50668335;61.96165848;450.49731445
 267;45.22041702;452.29248047;62.24496078;452.19223022
 268;45.39118576;453.96356201;62.50989914;453.89990234
 269;45.56061554;455.56701660;62.79582214;455.59417725
 270;45.73006439;457.32327271;63.11060333;457.28869629
 271;45.90066910;459.01773071;63.38603592;458.99475098
 272;46.07004547;460.71133423;63.67720413;460.68862915
 273;46.24073792;462.43823242;63.97362137;462.39550781
 274;46.41027069;464.12426758;64.28052521;464.09060669
 275;46.58102036;465.73742676;64.61104584;465.79815674
 276;46.75048828;467.50860596;64.89697266;467.49310303
 277;46.92009735;469.10995483;65.22224426;469.18899536
 278;47.09085083;470.91784668;65.48718262;470.89648438
 279;47.26034164;472.55270386;65.81245422;472.59130859
 280;47.43109512;474.27633667;66.08525848;474.29907227
 281;47.60063171;476.02252197;66.37905884;475.99438477
 282;47.77022552;477.67938232;66.66497803;477.69039917
 283;47.94089890;479.35739136;66.94828033;479.39709473
 284;48.11039734;481.02975464;67.29716492;481.09204102
 285;48.28101349;482.79190063;67.57259369;482.79818726
 286;48.45064163;484.41799927;67.85327148;484.49447632
 287;48.62008667;486.28079224;68.16280365;486.18890381
 288;48.79066849;487.92880249;68.44873047;487.89483643
 289;48.96010971;489.62976074;68.74514771;489.58911133
 290;49.13082504;491.27301025;69.04418945;491.29620361
 291;49.30027771;493.10708618;69.37995148;492.99087524
 292;49.47097015;494.63131714;69.72882843;494.69775391
 293;49.64047623;496.34106445;69.98065186;496.39276123
 294;49.81115341;498.13519287;70.29281616;498.09963989
 295;49.98069763;499.74984741;70.53151703;499.79504395
 296;50.15032578;501.47555542;70.85942078;501.49114990
 297;50.32098389;503.15057373;71.16893768;503.19793701
 298;50.49045181;504.88281250;71.48897552;504.89260864
 299;50.66003418;506.56231689;71.78538513;506.58831787
 300;50.83072662;508.27630615;72.11065674;508.29516602
 301;51.00029373;509.96881104;72.39657593;509.99099731
 302;51.17100143;511.70529175;72.72447968;511.69812012
 303;51.34054184;513.58251953;73.01302338;513.39343262
 304;51.51018143;515.04882813;73.33042145;515.08990479
 305;51.68088913;516.82385254;73.64520264;516.79699707
 306;51.85034943;518.54290771;73.95475006;518.49145508
 307;52.02100372;520.35278320;74.25115967;520.19812012
 308;52.19055939;521.93634033;74.58692169;521.89367676
 309;52.36119843;523.56103516;74.85186005;523.59997559
 310;52.53065109;525.30279541;75.17975616;525.29461670
 311;52.70019531;527.12145996;75.48404694;526.98999023
 312;52.87075424;528.62615967;75.76997375;528.69555664
 313;53.04013062;530.47705078;76.14508057;530.38934326
 314;53.21087265;532.06945801;76.42575073;532.09680176
 315;53.38042450;533.82849121;76.69856262;533.79223633
 316;53.55001450;535.50939941;77.03432465;535.48828125
 317;53.72071075;537.22662354;77.36485291;537.19519043
 318;53.89018631;538.86865234;77.69274139;538.89001465
 319;54.06094742;540.57904053;77.94981384;540.59765625
 320;54.23038864;542.28869629;78.24098206;542.29199219
 321;54.40100479;544.01721191;78.59773254;543.99792480
 322;54.57049179;545.78363037;78.92826080;545.69305420
 323;54.74000549;547.42932129;79.16432953;547.38793945
 324;54.91062927;549.10699463;79.52371216;549.09442139
 325;55.08003235;550.78808594;79.84373474;550.78839111
 326;55.25074005;552.52911377;80.17425537;552.49542236
 327;55.42026138;554.34020996;80.48640442;554.19073486
 328;55.59098816;555.92254639;80.80381012;555.89801025
 329;55.76041031;557.48034668;81.13957977;557.59216309
 330;55.93106079;559.25079346;81.43599701;559.29876709
 331;56.10062027;561.07629395;81.72978973;560.99426270
 332;56.27009964;562.74401855;82.07341766;562.68908691
 333;56.44083023;564.34259033;82.34622955;564.39636230
 334;56.61027527;566.04620361;82.71871948;566.09082031
 335;56.78104782;567.84515381;82.98365021;567.79846191
 336;56.95054245;569.53625488;83.32991028;569.49346924
 337;57.12002945;571.17382813;83.63157654;571.18841553
 338;57.29074860;572.84454346;83.99881744;572.89544678
 339;57.46023560;574.62823486;84.28473663;574.59039307
 340;57.63090897;576.21844482;84.61000824;576.29711914
 341;57.80030823;577.93975830;84.92217255;577.99114990
 342;57.97099686;579.70751953;85.23433685;579.69775391
 343;58.14039612;581.43402100;85.53862000;581.39208984
 344;58.31116867;583.17413330;85.89273834;583.09973145
 345;58.48067856;584.82128906;86.18916321;584.79486084
 346;58.65024185;586.50585938;86.50131226;586.49041748
 347;58.82100296;588.23974609;86.82134247;588.19799805
 348;58.99060440;589.84600830;87.16497803;589.89404297
 349;59.16014481;591.60656738;87.47712708;591.58947754
 350;59.33085632;593.33203125;87.79453278;593.29669189
 351;59.50048828;594.95989990;88.12242889;594.99273682
 352;59.67115402;596.77349854;88.47393036;596.69958496
 353;59.84069443;598.37896729;88.79133606;598.39501953
 354;60.01014328;599.99163818;89.13758850;600.08953857
 355;60.18081284;601.78472900;89.41828156;601.79632568
 356;60.35042191;603.46569824;89.76977539;603.49230957
 357;60.52111816;605.17907715;90.06880951;605.19915771
 358;60.69065475;606.88879395;90.35998535;606.89465332
 359;60.86007309;608.46887207;90.71673584;608.58880615
 360;61.03084183;610.27923584;91.00527954;610.29638672
 361;61.20037842;612.03540039;91.33580017;611.99188232
 362;61.37103271;613.58709717;91.65582275;613.69848633
 363;61.54053879;615.37719727;92.01519775;615.39312744
 364;61.71013641;617.13244629;92.35095978;617.08941650
 365;61.88086319;618.78277588;92.62639618;618.79669189
 366;62.05032349;620.48425293;92.95953369;620.49127197
 367;62.22100449;622.22357178;93.29005432;622.19812012
 368;62.39058304;623.97174072;93.62056732;623.89392090
 369;62.56012726;625.61718750;93.94059753;625.58923340
 370;62.73073959;627.30700684;94.23963928;627.29547119
 371;62.90019608;628.94293213;94.56491089;628.99011230
 372;63.07093048;630.69024658;94.87442780;630.69738770
 373;63.24047089;632.37689209;95.20495605;632.39276123
 374;63.41111374;634.08056641;95.51973724;634.09924316
 375;63.58056641;635.76165771;95.81352997;635.79370117
 376;63.75015640;637.47692871;96.18864441;637.48968506
 377;63.92096329;639.23004150;96.49555206;639.19763184
 378;64.09053802;640.85076904;96.82608032;640.89343262
 379;64.26009369;642.52868652;97.13560486;642.58886719
 380;64.43082428;644.25805664;97.50022125;644.29626465
 381;64.60036469;645.99871826;97.78614807;645.99182129
 382;64.77102661;647.68402100;98.12191010;647.69830322
 383;64.94068146;649.32354736;98.39472198;649.39489746
 384;65.11034393;651.12249756;98.74884796;651.09130859
 385;65.28111267;652.75775146;99.06887054;652.79919434
 386;65.45057678;654.47277832;99.36528015;654.49371338
 387;65.62015533;656.18402100;99.72728729;656.18969727
 388;65.79093933;657.91687012;100.04468536;657.89739990
 389;65.96049500;659.63848877;100.32798767;659.59301758
 390;66.13107300;661.33886719;100.68735504;661.29888916
 391;66.30063629;662.95971680;101.01788330;662.99438477
 392;66.47008514;664.71820068;101.29593658;664.68884277
 393;66.64086151;666.39172363;101.61072540;666.39654541
 394;66.81034088;668.01019287;101.93336487;668.09149170
 395;66.98113251;669.77911377;102.27961731;669.79931641
 396;67.15064240;671.52416992;102.57865906;671.49438477
 397;67.32009125;673.17663574;102.91180420;673.18908691
 398;67.49076843;674.85180664;103.18985748;674.89569092
 399;67.66024780;676.60229492;103.52824402;676.59057617
 400;67.83093262;678.30816650;103.85089111;678.29742432
 401;68.00053406;680.01501465;104.15780640;679.99353027
 402;68.17113495;681.68640137;104.47519684;681.69934082
 403;68.34068298;683.27856445;104.80834961;683.39501953
 404;68.51013947;685.04962158;105.12574768;685.08947754
 405;68.68089294;686.88873291;105.44577789;686.79663086
 406;68.85035706;688.44494629;105.73169708;688.49169922
 407;69.02095795;690.17742920;106.03861237;690.19775391
 408;69.19036102;691.86999512;106.33764648;691.89178467
 409;69.36107635;693.62646484;106.66815948;693.59893799
 410;69.53073883;695.32141113;106.94097900;695.29541016
 411;69.70025635;697.02813721;107.27411652;696.99060059
 412;69.87097931;698.66619873;107.53643036;698.69787598
 413;70.04051208;700.39202881;107.89318085;700.39312744
 414;70.21115875;702.15063477;108.16860199;702.09960938
 415;70.38060760;703.80773926;108.45453644;703.79406738
 416;70.55016327;705.47686768;108.75882721;705.48974609
 417;70.72085571;707.30181885;109.07360840;707.19641113
 418;70.89029694;708.93316650;109.38574982;708.89093018
 419;71.06101990;710.56298828;109.65332031;710.59838867
 420;71.23045349;712.26336670;109.95761108;712.29272461
 421;71.40000916;713.99316406;110.23303986;713.98809814
 422;71.57069397;715.71276855;110.53470612;715.69506836
 423;71.74008179;717.36779785;110.84423828;717.38897705
 424;71.91081238;719.06176758;111.13540649;719.09631348
 425;72.08027649;720.73986816;111.44232178;720.79071045
 426;72.25092316;722.49627686;111.77806854;722.49743652
 427;72.42039490;724.21313477;112.04564667;724.19213867
 428;72.59113312;725.90167236;112.35780334;725.89941406
 429;72.76059723;727.60021973;112.66208649;727.59405518
 430;72.93116760;729.22631836;112.91127777;729.29980469
 431;73.10070801;731.05487061;113.24180603;730.99499512
 432;73.27017212;732.74700928;113.49100494;732.68975830
 433;73.44075775;734.39953613;113.77955627;734.39550781
 434;73.61026764;735.98510742;114.10482788;736.09075928
 435;73.78101349;737.73052979;114.34877777;737.79833984
 436;73.95056915;739.28100586;114.57437134;739.49395752
 437;74.12004089;740.80749512;114.67667389;741.18847656
 438;74.29073334;742.29168701;114.65305328;742.89538574
 439;74.46014404;743.73114014;114.36714172;744.58953857
 440;74.63058472;745.29083252;113.81627655;746.29394531
 441;74.80116272;747.00842285;112.75652313;747.99957275
 442;74.97039795;748.73699951;111.17737579;749.69213867
 443;75.14090729;750.93450928;108.96080780;751.39721680
 444;75.31017303;752.69097900;106.84129333;753.08990479
 445;75.48091125;754.73034668;105.44839478;754.79730225
 446;75.65034485;757.42236328;104.99983978;756.49133301
 447;75.82079315;759.54412842;105.09426117;758.19592285
 448;75.99008942;760.70904541;105.37758636;759.88897705
 449;76.16045380;761.93750000;105.84187317;761.59265137
 450;76.33114624;763.58416748;106.46093750;763.29949951
 451;76.50060272;765.27813721;106.97769928;764.99414063
 452;76.67115784;766.91577148;107.50757599;766.69976807
 453;76.84064484;768.51153564;108.01909637;768.39447021
 454;77.01113892;770.36389160;108.50175476;770.09948730
 455;77.18068695;772.02777100;109.01065063;771.79479980
 456;77.35021210;773.71148682;109.49330902;773.49023438
 457;77.52084351;775.32147217;109.90514374;775.19659424
 458;77.69028473;776.98895264;110.40879059;776.89080811
 459;77.86087799;778.55920410;110.90457153;778.59686279
 460;78.03005981;780.28027344;111.39772797;780.28863525
 461;78.20081329;781.99108887;111.93547058;781.99633789
 462;78.37022400;783.80755615;112.42075348;783.69042969
 463;78.54074097;785.44348145;112.92964935;785.39544678
 464;78.71110535;787.05737305;113.49100494;787.09912109
 465;78.88044739;788.79986572;114.01564026;788.79260254
 466;79.05099487;790.50799561;114.45108032;790.49804688
 467;79.22038269;792.28112793;114.97571564;792.19189453
 468;79.39113617;793.86724854;115.50034332;793.89941406
 469;79.56048584;795.71374512;115.99874878;795.59277344
 470;79.73102570;797.28302002;116.53649139;797.29827881
 471;79.90035248;798.94415283;117.00079346;798.99157715
 472;80.07085419;800.71423340;117.53329468;800.69653320
 473;80.24032593;802.39282227;118.05530548;802.39141846
 474;80.41096497;804.01129150;118.57730103;804.09759521
 475;80.58038330;805.70898438;119.09669495;805.79193115
 476;80.75117493;807.52478027;119.66592407;807.49993896
 477;80.92063141;809.25256348;120.20367432;809.19439697
 478;81.09010315;810.97503662;120.70732117;810.88928223
 479;81.26083374;812.58575439;121.23719788;812.59643555
 480;81.43041229;814.24591064;121.73035431;814.29211426
 481;81.60099792;815.91174316;122.26285553;815.99816895
 482;81.77045441;817.71362305;122.79797363;817.69262695
 483;81.94115448;819.52642822;123.26227570;819.39953613
 484;82.11074066;821.08386230;123.81576538;821.09552002
